Acquisition Type,AMI Category,Bathrooms,Bedrooms,Block GeoID,Built Year,Organizational Sponsor/Owner,Property/Project Name,Restriction Type,Square Feet,Tenure Type,Unit ID,Unit Type,Year Unit Became Permanently Affordable
LTRA,60% AMI,1,4,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,1089,Rental,2705,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2706,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2707,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2710,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2711,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2712,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2713,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2714,,1999
LTRA,60% AMI,1,2,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,935,Rental,2715,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2716,,1999
LTRA,60% AMI,1,2,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,935,Rental,2717,,1999
LTRA,60% AMI,1,2,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,935,Rental,2718,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2719,,1999
LTRA,60% AMI,1,3,80130121033,1971,Boulder Housing Partners,Kalmia,Likely to Remain Affordable,950,Rental,2720,,1999
